Shutter,Command,Manchester II,Manchester Bits
Islas Room,Up,fd90bca8aa6f4351,11111101100100001011110010101000101010100110111101000011010101
Islas Room,Stop,fd90bda8aa6f4251,11111101100100001011110110101000101010100110111101000010010101
Islas Room,Down,fd10bda8aaef4251,11111101000100001011110110101000101010101110111101000010010101
Isla's Spare Room,Up,fd88bca8aa774351,11111101100010001011110010101000101010100111011101000011010101
Isla's Spare Room,Stop,fd88bda8aa774251,11111101100010001011110110101000101010100111011101000010010101
Isla's Spare Room,Down,fd08bda8aaf74251,11111101000010001011110110101000101010101111011101000010010101
Kitchen,Up,fd84bca8aa7b4351,11111101100001001011110010101000101010100111101101000011010101
Kitchen,Stop,fd84bda8aa7b4251,11111101100001001011110110101000101010100111101101000010010101
Kitchen,Down,fd04bda8aafb4251,11111101000001001011110110101000101010101111101101000010010101
Main Bedroom,Up,fdc0bca8aa3f4351,11111101110000001011110010101000101010100011111101000011010101
Main Bedroom,Stop,fdc0bda8aa3f4251,11111101110000001011110110101000101010100011111101000010010101
Main Bedroom,Down,fd40bda8aabf4251,11111101010000001011110110101000101010101011111101000010010101
Studio,Up,fda0bca8aa5f4351,11111101101000001011110010101000101010100101111101000011010101
Studio,Stop,fda0bda8aa5f4251,11111101101000001011110110101000101010100101111101000010010101
Studio,Down,fda0bda8aa5f4251,11111101101000001011110110101000101010100101111101000010010101
Main Lounge,Up,fd82bca8aa7d4351,
Main Lounge,Stop,fd82bda8aa7d4251,
Main Lounge,Down,fd02bda8aafd4251,